lng,lat,timestamp_added,status,reward_scale,payer,owner,nonce,name,mode,location_hex,location,last_poc_challenge,last_change_block,geocode,gain,elevation,block_added,block,address
-105.03144312349312,39.72253445104351,2022-04-09T03:43:47.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.2310028076171875,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,146Hnk53wnwKws8o2nbYo3WGMPz5CvSvtPh5ptc2XvcfSW5HqYv,1,spicy-inky-guppy,full,88268cd81bfffff,8c268cd81a00dff,1305678,1305724,"{'short_street': 'Julian St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Julian Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,1,1303842,1305776,11t5wuj2ZZRibhxeKkYvHgdNVNTAepzZGQcevLHDVseyuDBiu8f
-105.01221125920281,39.78492559150083,2022-04-08T00:40:27.000000Z,"{'timestamp': '2022-04-09T00:12:03.569000Z', 'online': 'online', 'listen_addrs': ['/ip4/71.205.132.86/tcp/44158'], 'height': 1303630}",0.1925048828125,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,13SaitA2b9kd4CKAqHVPMUN177foAWZ3DTvr1VxXwihiMjdbTnb,1,zealous-chocolate-leopard,full,88268cda1dfffff,8c268cda1d657ff,1305553,1305724,"{'short_street': 'Umatilla St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Umatilla Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,0,1302281,1305776,112n3kh9YLc13vjdnULzQ6tmD59eJFo9H7kbSwQK3DgS4YnL41GB
-105.03083856555222,39.817641434795576,2022-04-06T17:46:12.000000Z,"{'timestamp': '2022-04-07T12:01:36.149000Z', 'online': 'online', 'listen_addrs': ['/p2p/1125WSAhYtShaEc7SteLgoZV9qTUtDmV9b21sNvDv4ETJqzrUbWv/p2p-circuit/p2p/11hhDMRLcHoZ9WXTG7PV6o2akm234maWqrdB33qijrg9UX7q9L8'], 'height': 1301522}",0.2308807373046875,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,138UfFoBA64vD9uktPdeGHeRGogscbE7S4sArNcBa5AuDfPc77q,1,strong-lemon-porcupine,full,88268cda49fffff,8c268cda48aebff,1305200,1305755,"{'short_street': 'Julian St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Julian Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,1,1300385,1305776,11hhDMRLcHoZ9WXTG7PV6o2akm234maWqrdB33qijrg9UX7q9L8
-104.97893954368955,39.73439924690886,2022-04-06T01:46:46.000000Z,"{'timestamp': '2022-04-09T17:50:26.786000Z', 'online': 'online', 'listen_addrs': ['/ip4/136.29.79.51/tcp/44158'], 'height': 1304656}",0.0564117431640625,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,14ebT8goMpeYs11UHtYJiFiQnUQUkx9EK2hRXq8dnK6JwZcb8Tc,1,agreeable-iris-anteater,full,88268cda83fffff,8c268cda83503ff,1305656,1305724,"{'short_street': 'N Washington St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'North Washington Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,15,1299390,1305776,112soqcnnvEDxv699bBZkzJLdGtxrRAn592P94aUG2WN2qkkpY4f
-104.99877623245892,39.752433149187276,2022-04-05T23:13:13.000000Z,"{'timestamp': '2022-04-08T17:56:56.067000Z', 'online': 'online', 'listen_addrs': ['/p2p/112uf4uXb7rhemXCEDM6DsZfAqjgV5VqYaQKuXy1zmbVqAkjsFuv/p2p-circuit/p2p/11Eo1FRNDfEQC5bT3aUB2PhQ9BGqqtGH1vzdAzc2J3DMUwFCBN8'], 'height': 1303273}",0.0177459716796875,13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym,13KkMpA9548SAVQJ7GZKaRuUoTVQAjxid8M93trmH5KK7WDJPU3,1,helpful-spruce-poodle,full,88268cdaebfffff,8c268cdaea465ff,1304827,1305595,"{'short_street': '17th St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': '17th Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,25,1299229,1305776,11Eo1FRNDfEQC5bT3aUB2PhQ9BGqqtGH1vzdAzc2J3DMUwFCBN8
-104.99923916226854,39.75240034033056,2022-04-05T22:30:14.000000Z,"{'timestamp': '2022-04-10T04:39:55.602000Z', 'online': 'online', 'listen_addrs': ['/p2p/11oqEVXNJpuGj2hzXyuoedmdUFXX93o4yHtCz3vKa1SqF31f7gh/p2p-circuit/p2p/112ADXbmKhX3sguiAGNrHtxHVi2oa9s95791qF7yxc9XhW6f2n3j'], 'height': 1305284}",0.0351715087890625,13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym,13KkMpA9548SAVQJ7GZKaRuUoTVQAjxid8M93trmH5KK7WDJPU3,1,noisy-cloud-boa,full,88268cdaebfffff,8c268cdaea55dff,1305312,1305312,"{'short_street': '17th St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': '17th Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,5,1299182,1305776,112ADXbmKhX3sguiAGNrHtxHVi2oa9s95791qF7yxc9XhW6f2n3j
-105.00201786287897,39.75777821806885,2022-04-05T14:35:14.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.0265655517578125,14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL,13xJGeAd7m5QmHZaYpemacNcVTRTUf4jSkEJsJdVwcM8bP2JhEA,1,able-seafoam-barracuda,full,88268cdaebfffff,8c268cdaeb33bff,1304266,1304266,"{'short_street': 'Bassett St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Bassett Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",40,30,1298685,1305776,115Hq7vQmbd8KTkawXSLG4coYWaTV9Uqxibhpqv9iVJdXvECxDY
-104.8558833737169,39.65908822675884,2022-04-05T05:20:25.000000Z,"{'timestamp': '2022-04-07T19:51:02.638000Z', 'online': 'online', 'listen_addrs': ['/p2p/11hFHc5tWgJztVGP2tcYaLXwDE3L4jTC8WSP47rfimgoWMXV1W3/p2p-circuit/p2p/11ZBHzro2KTYUF3uG3GpnYwYA9Go9kYtr7VEA2jDYfRBvpRUBzk'], 'height': 1301998}",0.2293853759765625,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,13MmD7MgpqUhUwwRLr7iD4odcuaBdE7rx8dK4GzbKtr9vwZkdjQ,2,spare-blush-dinosaur,full,88268cc2e5fffff,8c268cc2e49e5ff,1305134,1305475,"{'short_street': 'E Dartmouth Ave', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'East Dartmouth Avenue', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",26,0,1298118,1305776,11ZBHzro2KTYUF3uG3GpnYwYA9Go9kYtr7VEA2jDYfRBvpRUBzk
-105.02512755003471,39.666900432405725,2022-04-04T23:48:10.000000Z,"{'timestamp': None, 'online': 'offline', 'listen_addrs': None, 'height': None}",0.224761962890625,13Mpg5hCNjSxHJvWjaanwJPBuTXu1d4g5pGvGBkqQe3F8mAwXhK,14WkZGeu7kww5rX4Z4RM448ym9RGsBJ868HsHgp8fBf6prD315P,1,clean-lavender-seahorse,full,88268cd8b1fffff,8c268cd8b1a57ff,1301900,1301900,"{'short_street': 'S Federal Blvd', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'South Federal Boulevard', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",30,13,1297785,1305776,11exDYvEE9D3MVRLY4gvZHrwYmNAFLVhrX5QfCnPsML4Upn1P8q
-104.9923637400175,39.75017528288255,2022-04-04T22:40:16.000000Z,"{'timestamp': None, 'online': 'offline', 'listen_addrs': None, 'height': None}",,13v9iGhjvQUtVaZXcFFRCEbL1nPR4R8QJowBgMUcaGM2v1aV6mn,13coFrYcy8A285EbsjFuidXGEgh8JxDqxNyBUREmN92YLTqXM5W,1,cuddly-goldenrod-lobster,full,88268cda8dfffff,8c268cda8d291ff,1297728,1297728,"{'short_street': 'Arapahoe St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Arapahoe Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",30,67,1297717,1305776,112fTwwr4fzf9LJioeojeqh4Fw7qqgYVQ2qcx1QkDWectA59Jig
